taxonRank,kingdom,family,scientificName
hybrid,Animalia,GROSBEAKS_SALTATORS_ALLIES_CARDINALIDAE,Passerina amoena x Passerina cyanea
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Chroicocephalus brunnicephalus x Chroicocephalus ridibundus
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Chroicocephalus ridibundus x Ichthyaetus melanocephalus
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Larus argentatus x Larus cachinnans
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Larus argentatus x Larus fuscus
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Larus argentatus x Larus hyperboreus
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Larus argentatus x Larus michahellis
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Larus cachinnans x Larus michahellis
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Larus fuscus x Larus michahellis
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Larus glaucescens x Larus occidentalis
hybrid,Animalia,GULLS_TERNS_AND_SKIMMERS_LARIDAE,Sterna dougallii x Sterna hirundo
hybrid,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Buteo buteo x Buteo rufinus cirtensis
hybrid,Animalia,HAWKS_AND_EAGLES_ACCIPITRIDAE,Circus cyaneus x Circus macrourus
